pl_radj,pl_bmassj,pl_orbper,pl_eqt,pl_pnum,st_mass
0.43178236,1.6714733,2.8822966,6.981538,1,0.59883654
-0.061875407,0.37156355,4.46185,6.2363696,1,-0.010050326
0.41343328,2.2278614,0.5673503,7.8438487,1,0.5423243
-1.0876722,-3.6119184,2.3937192,6.686884,2,-0.040822014
-2.6882474,-6.5712833,-1.4266831,8.9513235,2,-0.6931472
-2.5639498,-6.165818,-1.0703543,8.832547,2,-0.6931472
-1.8773174,-3.4112477,1.319943,7.3038435,4,0.24686004
-0.954512,-3.015935,2.344077,6.919684,4,0.24686004
0.004987537,-1.0966144,3.1065125,6.692084,4,0.24686004
-0.5361435,-2.207275,3.994898,6.369901,4,0.24686004
0.029558774,0.08617772,0.53432196,7.2855067,1,-0.11653382
